Route ID,Stop,Departure Time
6,Fawara Chowk,"Bus 6: 09:01:16, Bus 17: 13:16:16, Bus 28: 18:01:16, Bus 39: 21:16:16"
7,Haji Camp,"Bus 7: 09:31:51, Bus 18: 14:01:51, Bus 29: 18:31:51"
8,Malir Session Court,"Bus 8: 09:35:28, Bus 19: 14:20:28, Bus 30: 18:35:28"
9,Drigh Road Station,"Bus 9: 10:05:52, Bus 20: 15:05:52, Bus 31: 19:05:52"
10,Model Mor,"Bus 10: 10:46:36, Bus 21: 16:01:36, Bus 32: 19:46:36"
11,Johar Mor,"Bus 11: 10:20:33, Bus 22: 15:50:33, Bus 33: 19:20:33"
1,Nursery,"Bus 1: 07:32:01, Bus 12: 11:02:01, Bus 23: 16:32:01, Bus 34: 19:47:01"
2,Colony Gate,"Bus 2: 08:16:54, Bus 13: 11:46:54, Bus 24: 17:16:54, Bus 35: 20:16:54"
3,Essa Nagri,"Bus 3: 08:23:27, Bus 14: 11:53:27, Bus 25: 17:23:27, Bus 36: 20:08:27"
4,Laloo Khait,"Bus 4: 08:54:22, Bus 15: 12:39:22, Bus 26: 17:54:22, Bus 37: 20:39:22"
5,Fast University,"Bus 5: 09:37:12, Bus 16: 13:37:12, Bus 27: 18:37:12, Bus 38: 21:37:12"
6,Metropole,"Bus 6: 09:06:10, Bus 17: 13:21:10, Bus 28: 18:06:10, Bus 39: 21:21:10"
7,US Consulate General,"Bus 7: 09:35:00, Bus 18: 14:05:00, Bus 29: 18:35:00"
8,Murghi Khana,"Bus 8: 09:38:58, Bus 19: 14:23:58, Bus 30: 18:38:58"
9,PAF Base Faisal,"Bus 9: 10:08:09, Bus 20: 15:08:09, Bus 31: 19:08:09"
10,Jinnah Ave,"Bus 10: 10:56:03, Bus 21: 16:11:03, Bus 32: 19:56:03"
11,Millennium Mall,"Bus 11: 10:24:03, Bus 22: 15:54:03, Bus 33: 19:24:03"
1,FTC,"Bus 1: 07:37:27, Bus 12: 11:07:27, Bus 23: 16:37:27, Bus 34: 19:52:27"
2,Shah Faisal Colony,"Bus 2: 08:23:43, Bus 13: 11:53:43, Bus 24: 17:23:43, Bus 35: 20:23:43"
3,Civic Centre,"Bus 3: 08:33:36, Bus 14: 12:03:36, Bus 25: 17:33:36, Bus 36: 20:18:36"
4,Teen Hati,"Bus 4: 09:01:22, Bus 15: 12:46:22, Bus 26: 18:01:22, Bus 37: 20:46:22"
5,Bhains Colony More,"Bus 5: 09:40:42, Bus 16: 13:40:42, Bus 27: 18:40:42, Bus 38: 21:40:42"
6,Frere Hall,"Bus 6: 09:11:46, Bus 17: 13:26:46, Bus 28: 18:11:46, Bus 39: 21:26:46"
7,M.T. Khan Road,"Bus 7: 09:43:03, Bus 18: 14:13:03, Bus 29: 18:43:03"
8,Quaidabad,"Bus 8: 09:44:55, Bus 19: 14:29:55, Bus 30: 18:44:55"
9,Laal Kothi,"Bus 9: 10:13:24, Bus 20: 15:13:24, Bus 31: 19:13:24"
10,Malir Halt,"Bus 10: 10:57:11, Bus 21: 16:12:11, Bus 32: 19:57:11"
11,Dalmia Road,"Bus 11: 10:25:48, Bus 22: 15:55:48, Bus 33: 19:25:48"
1,Regent Plaza,"Bus 1: 07:41:39, Bus 12: 11:11:39, Bus 23: 16:41:39, Bus 34: 19:56:39"
2,Singer Chowrangi,"Bus 2: 08:28:06, Bus 13: 11:58:06, Bus 24: 17:28:06, Bus 35: 20:28:06"
3,National stadium,"Bus 3: 08:40:04, Bus 14: 12:10:04, Bus 25: 17:40:04, Bus 36: 20:25:04"
4,Jehangir Road,"Bus 4: 09:07:09, Bus 15: 12:52:09, Bus 26: 18:07:09, Bus 37: 20:52:09"
5,Manzil Pump,"Bus 5: 09:47:42, Bus 16: 13:47:42, Bus 27: 18:47:42, Bus 38: 21:47:42"
6,PSO Head Office,"Bus 6: 09:13:05, Bus 17: 13:28:05, Bus 28: 18:13:05, Bus 39: 21:28:05"
7,Mauripur,"Bus 7: 09:52:30, Bus 18: 14:22:30, Bus 29: 18:52:30"
8,Dawood Chowrangi,"Bus 8: 09:48:57, Bus 19: 14:33:57, Bus 30: 18:48:57"
